,/aure_20000
Metric,Value
Total,95
Any of the generated distractors matches with a gold one,49.47%
The correct answer is among generated distractors,3.16%
Any (but not all) generated distractors are the same,4.21%
All generated distractors are the same,3.16%
Any distractor is capitalized differently from the correct answer,9.47%
Any distractor contains repetitive words,0.0%
Any distractor is an empty string,0.0%
(A) Any distractor is in its own context,95.79%
(B) Any distractor is in any context from training data,35.79%
(C) Any distractor is a distractor from training data,0.0%
(A) and (B),35.79%
(A) and (C),0.0%
(A1) All distractors are in their own context,53.68%
(B1) All distractors are in any context from training data,12.63%
(C1) All distractors are distractors from training data,0.0%
(A1) and (B1),10.53%
(A1) and (C1),0.0%
Distractor recall,22.95%
